epoch,train_loss,val_loss
1,951.1856233723959,946.2603313739484
2,938.0418630642362,935.5262357271635
3,925.1425702582466,923.1774104191707
4,913.4576230197482,911.3495788574219
5,902.3619308810764,900.8311157226562
6,891.6165953233507,890.6738609900841
7,881.0243798828125,885.5099322979266
8,871.7417252604166,881.2596059945913
9,862.0179505750868,864.5084791917068
10,851.949553765191,851.9403287447416
11,842.8686900499132,853.2598337026743
12,833.9249679904514,827.6549447866587
13,823.4281686740451,821.283937894381
14,813.4114759657118,817.2708974984976
15,803.440791015625,812.7615520770734
16,793.9397634548611,809.7499671349159
17,785.5921576605903,792.3047332763672
18,776.3026879882813,780.7964536226713
19,765.7062947591146,766.3576413668119
20,756.9316978624132,762.2137744610126
21,748.0591259765625,728.8163534311147
22,739.7266368272569,736.042715219351
23,730.094290093316,739.1315659743088
24,721.1937603081598,730.2111276479868
25,711.9890519205729,696.7921189528245
26,703.8139823404948,716.9773747370793
27,695.2557937282986,696.4521167461688
28,685.0785091145833,682.9334681584285
29,676.1981157769097,665.3020594670222
30,666.8046329752605,683.3352684607872
31,658.794951171875,663.0364978496845
32,649.844833577474,653.4997406005859
33,641.3657078721789,628.320560161884
34,633.3225956217448,617.8177959735577
35,624.7478466796875,627.60206251878
36,615.1510191514757,622.8633681077224
37,606.7765801323785,615.6166769174429
38,598.5616719563802,585.5757833627554
39,595.5507820638021,591.2415630634015
40,585.3485083007813,610.0452563946063
41,575.9977353244358,580.6411707951472
42,566.3831819661458,580.1989182692307
43,558.9745229763455,520.5838769766001
44,550.7994618055556,579.4023836576022
45,543.1003755696614,553.9017932598407
46,535.8648811848958,543.190079322228
47,529.3712154134115,567.1976529634916
48,525.2634172905816,547.4067159799429
49,511.751028374566,511.28263796292816
50,502.04306559244793,503.53988001896784
51,496.7712768554687,525.5365847074069
52,490.2203862847222,500.62992037259613
53,477.6610215928819,496.7815727820763
54,473.17552964952256,476.19178067720856
55,463.13899102105034,505.4949505145733
56,459.1781431749132,480.7596693772536
57,452.8052615017361,464.2702842125526
58,445.93226657443574,471.3929196871244
59,434.6547153049045,423.25556006798377
60,431.4121242947049,421.60515946608325
61,424.36774373372396,406.50257873535156
62,420.7349934217665,421.3820243248573
63,412.60611992730037,423.3969180767353
64,411.9990928819444,418.061524611253
65,402.9980329047309,414.8391841008113
66,396.0079999457465,419.48922846867487
67,387.89169962565103,415.65582862267127
68,378.20160508897567,387.6450840876653
69,377.1565478515625,359.7910801814153
70,371.3307569715712,405.27242689866284
71,367.20017618815103,392.06877370981067
72,360.7180894639757,361.56407224214996
73,359.3378264702691,357.0037119938777
74,352.82404663085936,422.09383685772235
75,344.536171468099,365.8573414729192
76,335.7960008409288,366.595102750338
77,339.82416341145836,384.3534698486328
78,339.18845628526475,347.92494025597205
79,324.95375074598525,371.170278109037
80,330.72172675238716,344.66337409386267
81,330.06660630967883,268.13762430044324
82,320.2672823757595,318.1636763352614
83,321.8304939778646,331.59402231069714
84,316.8876751030816,410.4925138033353
85,312.65089124891495,325.3116149902344
86,310.1408325873481,319.26998725304236
87,303.09831386990015,312.04235194279596
88,302.1204455566406,283.8798540555514
89,292.25276936848957,295.79249807504505
90,289.0652463107639,296.7359448946439
91,292.0877156575521,280.5967671320989
92,283.4749716525608,291.3716084406926
93,278.8286249457465,299.14114145132214
94,282.99882419162327,272.73402111346905
95,285.0206018066406,285.9590776883639
96,277.1406968858507,283.49393756573016
97,290.3954145643446,288.38952930157
98,276.43137247721353,271.48349820650543
99,280.8331728108724,265.6460266113281
100,285.00095540364583,319.5700008685772
101,272.85049818250866,287.6585622934195
102,273.5745969645182,258.67933302659253
103,265.89890665690103,247.38474919245795
104,265.79561699761285,286.19752326378455
105,257.1443484157986,263.436147249662
106,252.95992241753473,272.74434221707855
107,255.21663418240018,266.03197655311
108,253.06898593478732,276.9131581233098
109,255.6563387722439,264.6653101994441
110,244.58303134494358,297.3377955510066
111,245.15596733940973,250.55291924109827
112,242.7428276231554,270.2727749164288
113,234.08205017089844,247.47684185321515
114,240.51514492458767,265.2649131188026
115,241.43151021321614,243.8169649564303
116,229.883947007921,231.51566432072565
117,238.92182413736978,240.48606549776517
118,236.6596823120117,259.2609317486103
119,229.4286567518446,248.30759019118088
120,233.93894931369357,258.65980529785156
121,230.12012722439235,236.39855194091797
122,229.3319852701823,262.6802591177133
123,223.95131700303818,270.10123384915863
124,227.66535536024307,256.1893263596755
125,225.4358093939887,245.85289588341345
126,227.57415974934895,244.23255450908954
127,219.48376810709635,275.3548815800593
128,220.06412367078994,251.49734438382663
129,219.45689412434896,232.61954615666315
130,219.46756049262152,267.774720118596
131,218.82943861219618,262.8999481201172
132,221.56218187120226,256.94388815072864
133,217.00075205485027,252.01935841487006
134,220.55695400661892,241.31312795785757
135,216.31107764350043,249.20067919217624
136,214.3710295952691,260.11659651536206
137,213.08962910970052,252.79553398719202
138,212.50461907280817,239.49737900954025
139,212.94539364284938,246.615112891564
140,215.36302931043838,237.09298001802884
141,209.87797960069443,248.09893446702225
142,206.36182874891492,248.5725813645583
143,209.87903666178386,243.03808916532077
144,210.8166534423828,251.1545741741474
145,209.34943454318577,233.88066071730393
146,207.75519863552518,237.31956599308893
147,205.48031473795572,247.11573820847732
148,200.74051150851778,235.1373549241286
149,206.9561062282986,243.02072495680588
150,207.41537692599826,252.1834945678711
151,200.77986558702256,234.05850395789514
152,201.99853746202257,245.42855130709134
153,202.3363141547309,254.203616802509
154,209.25693027072484,257.6234289316031
155,198.33129475911457,238.148981827956
156,204.08733011881512,251.90379274808444
157,203.0302173868815,234.94498766385593
158,199.5558509657118,232.5055527320275
159,199.5632970513238,234.11399782620944
160,200.787535671658,244.77087549062875
161,201.09098788791232,231.04472263042743
162,196.61056328667536,251.00618919959436
163,204.91323364257812,245.78241641704852
164,198.69809807671442,242.99875904963568
165,196.1175661892361,231.43765904353216
166,196.82114803738065,235.2416654733511
167,196.01136203342014,235.33221699641302
168,198.02788106282551,239.59524213350736
169,195.45837137858072,238.56580264751727
170,195.86706888834635,230.3676534799429
171,199.75989902072482,226.714299422044
172,197.3475932481554,231.80277428260217
173,194.72274475097657,244.1728858947754
174,194.39848056369357,228.90801884577826
175,192.57791514078775,237.1608370267428
176,193.0667578125,249.08907993023212
177,195.5029495578342,232.31049405611478
178,192.75209954155815,227.17221744243915
179,191.80787604437933,235.69337580754205
180,195.32444600423176,233.54159751305212
181,193.27079847547742,243.23741384652945
182,197.46876756456163,237.3394487821139
183,192.42307956271702,235.99782356849084
184,192.6393243408203,227.17774347158579
185,191.4723218451606,233.3740337078388
186,191.9653170437283,234.25675817636343
187,193.29000946044923,240.99188907329852
188,192.76732177734374,231.4354374225323
189,189.29200107150606,236.30595603355994
190,192.8131679280599,234.93485377385065
191,195.4765828450521,234.7789042546199
192,192.77521531846787,233.48505166860727
193,194.69237243652344,233.60028692392203
194,192.16929660373265,237.8684363731971
195,192.6210457356771,235.21961270845853
196,189.64232028537327,230.30595456636868
197,189.8332418484158,234.14844336876502
198,188.39937608506943,240.27316577617938
199,192.1449763997396,229.02293454683743
200,188.6943231201172,235.91129567072943
