epoch,train_loss,lr
1,0.8712630618217937,5e-05
2,0.44880090889762014,0.0001
3,0.40432058863022696,0.00015
4,0.41619521160254486,0.0002
5,0.38964651558319285,0.00025
6,0.3948210109878519,0.0003
7,0.32885436555526776,0.00035
8,0.3045846587341813,0.0004
9,0.2997454625712205,0.00045000000000000004
10,0.2811258974965502,0.0005
11,0.2647129402979792,0.000499965894595621
12,0.2557348650039019,0.0004998635877065611
13,0.2424530114153022,0.000499693107302502
14,0.24466652973959122,0.0004994544999910843
15,0.23322244475507203,0.0004991478310051641
16,0.22225560528162028,0.0004987731841849804
17,0.22620883954470383,0.0004983306619552328
18,0.21669825858798994,0.0004978203852970803
19,0.19885923978447692,0.0004972424937150664
20,0.17969070386065228,0.0004965971451989792
21,0.16967461820088287,0.0004958845161806593
22,0.16450876616343885,0.0004951048014857649
23,0.15142134392505696,0.0004942582142805081
24,0.14027524024969595,0.0004933449860133774
25,0.1415543825377743,0.0004923653663518629
26,0.1404098029936936,0.0004913196231141985
27,0.1395055857839087,0.0004902080421961437
28,0.13967266908432296,0.0004890309274928222
29,0.12569711053504623,0.00048778860081564085
30,0.11964276312283298,0.00048648140180430834
31,0.11958292406919505,0.0004851096878339822
32,0.12090157505187242,0.0004836738339175655
33,0.12601804078402243,0.0004821742326031819
34,0.11983028895029142,0.0004806112938668575
35,0.11416188146037984,0.00047898544500043686
36,0.12200270129759662,0.00047729713049476604
37,0.11227556558072678,0.0004755468119181733
38,0.11422797193962325,0.00047373496779028055
39,0.11062545780252034,0.0004718620934511811
40,0.12286134122470238,0.00046992870092601904
41,0.12058444640267939,0.00046793531878500566
42,0.12970144789339888,0.0004658824919989147
43,0.12165638045503219,0.000463770781790092
44,0.10352397338249608,0.0004616007654790234
45,0.10106692705962467,0.0004593730363265009
46,0.09900141197986886,0.00045708820337143105
47,0.09762445566707484,0.00045474689126432977
48,0.08865747814807257,0.00045234974009654937
49,0.0990827330830377,0.0004498974052252837
50,0.1016902951610377,0.0004473905570944002
51,0.10344359087211459,0.00044482988105114707
52,0.10824307597466021,0.00044221607715878635
53,0.11926007048128037,0.00043954986000520357
54,0.11985327128591484,0.00043683195850754644
55,0.13165801666413385,0.0004340631157129464
56,0.13014367663993515,0.0004312440885953767
57,0.10965836307578469,0.0004283756478487036
58,0.12100903796694576,0.0004254585776759859
59,0.11118537562186491,0.00042249367557508217
60,0.13513742989445976,0.00041948175212062243
61,0.13816878096906388,0.0004164236307424052
62,0.129162439282158,0.00041332014750028006
63,0.1149186100984197,0.0004101721508555775
64,0.12851152107036312,0.0004069805014391475
65,0.11974457469621407,0.00040374607181607215
66,0.10687657850803166,0.00040046974624711475
67,0.11272394854845948,0.00039715242044697206
68,0.1021617055494248,0.0003937950013393944
69,0.10326319448719255,0.0003903984068092424
